Title,Realistic,Investigative,Artistic,Social,Enterprising,Conventional
Computer Systems Analysts,3.34,6.36,1.98,1.89,2.26,5.89
Health Informatics Specialists,2.97,6.23,1.93,4.63,2.1,4.74
Information Security Analysts,3.61,5.43,1.32,2.03,2.82,6.16
Computer and Information Research Scientists,3.94,7,2.86,2.04,2.42,4.8
Computer Network Support Specialists,4.31,4.61,1,2.33,2.71,5.49
Computer User Support Specialists,4.06,3.85,1,3.32,2.31,5.89
Computer Network Architects,4.06,5.33,2.24,2.19,3.17,5.07
Telecommunications Engineering Specialists,4.87,4.36,1.87,2.08,3.16,4.95
Database Administrators,2.7,4.76,1.3,2.28,2.86,6.57
Database Architects,2.69,5.68,2.22,1.93,2.75,5.99
Data Warehousing Specialists,2.87,4.71,1.62,2,3.09,6.37
Network and Computer Systems Administrators,4.2,4.05,1,2.22,3.47,6.18
Computer Programmers,3.31,5.18,2.62,2.01,2.04,5.8
Software Developers,3.93,5.86,2.26,1.88,1.87,5.46
Software Quality Assurance Analysts and Testers,3.8,5.76,1.69,1.53,1.57,5.68
Web Developers,2.95,5.06,3.07,2.24,2.89,5.09
Web and Digital Interface Designers,2.57,4.87,4.49,2.21,3.14,4.39
Video Game Designers,2.68,4.1,6.42,2.35,4.02,3.87
Web Administrators,2.57,4.42,2.28,2.23,3.74,5.74
Geographic Information Systems Technologists and Technicians,4.26,5.19,2.31,1.93,1.93,5.88
Document Management Specialists,1.67,3.81,1.85,2.39,3.02,6.75
Penetration Testers,3.9,5.17,1.28,1.97,2.08,5.15
Information Security Engineers,4.24,5.51,1.31,1.85,2.66,6.04
Digital Forensics Analysts,3.18,6.1,1.71,1.68,2.7,6.05
Blockchain Engineers,3.4,5.28,2.07,1.57,3.39,5.69
Computer Systems Engineers/Architects,4.33,5.77,1.97,2.04,2.81,5.42
Information Technology Project Managers,1.72,3.68,1.83,2.66,6.02,5.29
Actuaries,1.81,4.44,1.18,2.47,3.41,6.24
Mathematicians,3,7,3.23,1.97,1.16,5.27
Operations Research Analysts,1.92,6.26,2.14,2.04,3.12,5.77
Statisticians,2.07,6.63,1.76,1.69,1.82,5.93
Biostatisticians,2.58,7,2.65,2.67,1.86,4.73
Data Scientists,2.16,6.99,2.59,1.66,1.71,5.4
Business Intelligence Analysts,1.12,5.46,1.95,1.88,4.46,5.61
Clinical Data Managers,1.29,5.71,1.15,2.55,3.3,6.87
Bioinformatics Technicians,3.81,6.42,1.58,1.69,1,6.04
